0.73	0.75	0.90	0.05	0.74	0.40	0.85	0.35	0.99	0.33	0.99
0.27	0.02	1.00	0.78	0.74	0.39	0.21	0.91	0.12	0.30	0.16
0.17	0.97	0.86	0.90	0.45	0.27	0.98	0.18	0.14	0.31	0.89
0.13	0.01	0.87	0.84	0.73	0.28	0.12	0.22	0.82	0.31	0.98
0.81	0.94	0.85	0.05	0.21	0.29	0.89	0.77	0.87	0.26	0.82
0.10	0.83	0.81	0.90	0.47	0.71	0.84	0.33	0.95	0.22	0.85
0.01	0.12	0.08	0.76	0.54	0.28	0.78	0.23	0.98	0.14	0.87
0.79	0.91	0.56	0.78	0.55	0.45	0.94	0.08	0.00	0.70	0.84
0.91	0.12	0.07	0.77	0.61	0.45	0.85	0.48	0.91	0.72	0.93
0.27	0.79	0.82	0.78	0.31	0.65	0.21	0.03	0.13	0.26	0.99
0.34	0.26	0.69	0.22	0.32	0.66	0.80	0.45	0.12	0.74	0.96
0.70	0.01	0.13	0.22	0.83	0.67	0.90	0.86	0.89	0.46	0.97
0.84	0.81	0.16	0.31	0.23	0.60	0.92	0.95	0.13	0.64	0.99
0.63	0.78	0.08	0.10	0.33	0.60	0.94	0.85	0.21	0.52	0.95
0.32	0.78	0.87	0.27	0.39	0.61	0.02	0.81	0.08	0.36	0.89
0.31	0.84	0.07	0.14	0.43	0.61	0.83	0.94	0.12	0.37	0.04
0.31	0.96	0.93	0.14	0.65	0.64	0.12	0.25	0.95	0.60	0.82
0.21	0.08	0.95	0.88	0.39	0.64	0.24	0.08	0.05	0.74	0.15
0.73	0.22	0.91	0.78	0.81	0.65	0.79	0.86	0.17	0.75	0.13
0.43	0.15	0.16	0.24	0.06	0.65	0.80	0.15	0.98	0.26	0.87
0.30	0.07	0.97	0.06	0.07	0.67	0.98	0.53	0.02	0.25	0.77
0.05	0.57	0.84	0.23	0.63	0.68	0.01	0.19	0.13	0.36	0.02
0.30	0.03	0.80	0.12	0.22	0.68	0.12	0.22	0.97	0.26	0.95
0.36	0.84	0.21	0.12	0.20	0.33	0.12	0.22	0.18	0.29	0.87
0.40	0.93	0.20	0.92	0.65	0.50	0.23	0.15	0.86	0.25	0.87
